"","ADH1C","TNC","MYH11","KPNA2","C1QC","GNAO1","CBR1","PCNA","SHMT2","MRTO4","IDH1"
"PDAC_29T",3.11190735470531,-0.569192858341799,-0.267873647129133,-0.286487805899389,0.589689091188038,0.215686156523637,0.448646313409652,-0.580377289828965,-0.312553478598122,0.546596795298742,-0.0309170276325331
"PDAC_30T",-0.321491489529984,0.583160051296478,-0.268200841301541,0.0579925324185781,1.56140151368744,-1.02450790951113,1.18498392576658,-0.831682214732887,-0.346286195054598,-0.347806192523246,0.767172824114725
"PDAC_31T",-0.480473797841536,0.294750671446184,-0.283825798096154,-0.0272823168706024,-0.277501138677118,-0.821460139437594,0.934518410104722,0.965359480721704,-0.445504226896183,-0.469320128192813,-0.223857445680587
"PDAC_32T",-0.623370427028612,2.53953379170763,1.10791279169281,-0.377397557123978,-0.123103441171217,0.0397157307087932,1.5552281620381,2.09020638974704,-0.553986380028749,2.46060911902213,-0.750805493703045
"PDAC_33T",-0.0833159100094064,-0.0286039574429021,-0.0936379667816523,0.416372295510553,-0.218970929956771,-0.858101796226803,-0.71149923444658,0.497863688379001,-0.741850030482898,0.299540837694319,-1.14044546414341
"PDAC_34T",-0.321491489529984,0.171978681249363,-0.359960629207798,-0.330815701124602,-0.554174267481259,0.376211510076363,-0.472464199707599,0.591713987422193,-0.59613459597856,-0.540650822473981,-0.436091905533445
"PDAC_35T",-0.485239924989529,0.135555648047238,-0.0809539307062795,0.210510544803632,1.17127409404623,-0.582416949907991,-0.131156739781337,3.14546362125055,-0.0678321677016109,2.998526472366,1.08160162937946
"PDAC_36T",-0.321491489529984,-0.530181288173837,-0.330325638902266,-0.297006289512151,-0.386905471943965,-0.354295171308506,-0.715252611441128,-0.361153844700012,-0.810058007468792,4.00991179880911,-1.28522909297829
"PDAC_37T",0.807281446394487,-0.549817465978112,-0.242126718568232,-0.54644461518623,0.263140457512246,-0.449873672880358,0.31428563800121,0.744539942071608,2.20361015142582,0.94017439080307,2.43573010288144
"PDAC_38T",-0.835288714608876,-0.276707498642315,-0.349157481269715,0.167685290094528,-0.603772377998785,0.317791655160234,-0.15268897210104,-0.129800088810375,-0.418065455438923,-0.429542776323079,-0.753667561896968
"PDAC_39T",-0.479805377570781,-0.612908225160367,-0.378379173673259,-0.520899726412379,0.283723118588311,-1.05365321323588,-0.202771854237058,-0.566890299575309,-1.00520566168608,-0.282349790712292,-1.10125933643358
"PDAC_40T",-0.286399425315342,-0.564508379131237,-0.29496570728771,-0.286487805899389,-0.376752838582995,0.220339065322267,0.903997379324552,-0.466416212419375,-0.132221346598092,0.427768250472702,-0.433201359049035
"PDAC_41T",0.298293941089942,1.01795699179684,4.36628648140122,-0.403318106026856,2.0693660549609,-0.677736956546586,0.0947727062989219,-0.063083379626609,-0.768864491041334,-0.281007095290529,0.269799480762806
"PDAC_42T",-0.824913669536721,1.06180758069571,-0.401720938054534,0.444171145058567,0.116620759663492,-1.24687817584564,-0.359743644913711,0.77654161717052,-0.94513031026097,0.724839612537802,-0.250669756173906
"PDAC_43T",0.40930982953709,-0.335760912855467,-0.266830835293098,-0.250048773383748,0.240616035957307,-0.6190586066972,-0.304141424746377,0.858501019481199,0.623052053307914,1.99502948152576,-0.191676977430505
"PDAC_44T",1.86780286032468,-0.606987429787017,-0.316350046883179,-0.562222340605373,1.32273141139841,0.764729394761946,0.469111019443463,0.252783528207536,-0.140601486849858,-0.360226125174556,-0.124211907267282
"PDAC_45T",0.585918089770944,-0.513877368777076,-0.33615007785436,-0.31879457699573,0.493599686919185,0.460093115918327,-0.00213369580235742,0.205379550629597,0.121339774690577,1.0054629556863,-0.664886491304377
